time_s,period_us
12.079999999999831,50173
12.099999999999831,50975
12.11999999999983,50650
12.13999999999983,50714
12.15999999999983,49401
12.17999999999983,51015
12.199999999999829,49163
12.219999999999828,53891
12.239999999999828,50348
12.259999999999827,52671
12.279999999999827,50629
12.299999999999827,50219
12.319999999999826,50056
12.339999999999826,51304
12.359999999999825,50191
12.379999999999825,52391
12.399999999999824,51100
12.419999999999824,51099
12.439999999999824,51210
12.459999999999823,50344
12.479999999999823,51701
12.499999999999822,53745
12.519999999999822,51304
12.539999999999822,51280
12.559999999999821,51264
12.57999999999982,51264
12.59999999999982,49578
12.61999999999982,50313
12.63999999999982,49280
12.659999999999819,50698
12.679999999999819,49030
12.699999999999818,51557
12.719999999999818,52367
12.739999999999817,53086
12.759999999999817,50688
12.779999999999816,50774
12.799999999999816,53955
12.819999999999816,50458
12.839999999999815,50951
12.859999999999815,52042
12.879999999999814,51561
12.899999999999814,52142
12.919999999999813,50204
12.939999999999813,50730
12.959999999999813,51845
12.979999999999812,52302
12.999999999999812,51570
13.019999999999811,51474
13.03999999999981,49820
13.05999999999981,48998
13.07999999999981,49099
13.09999999999981,50174
13.11999999999981,53791
13.139999999999809,50553
13.159999999999808,50610
13.179999999999808,49534
13.199999999999807,48764
13.219999999999807,51574
13.239999999999807,51898
13.259999999999806,51549
13.279999999999806,50527
13.299999999999805,52130
13.319999999999805,49516
13.339999999999804,49478
13.359999999999804,50672
13.379999999999804,50473
13.399999999999803,51219
13.419999999999803,48435
13.439999999999802,49993
13.459999999999802,50766
13.479999999999801,49876
13.499999999999801,48138
13.5199999999998,49590
13.5399999999998,51801
13.5599999999998,50553
13.5799999999998,52493
13.599999999999799,48621
13.619999999999798,55985
13.639999999999798,50408
13.659999999999798,49631
13.679999999999797,48983
13.699999999999797,50246
13.719999999999796,53295
13.739999999999796,51309
13.759999999999796,51114
13.779999999999795,48675
13.799999999999795,50000
13.819999999999794,51709
13.839999999999794,50072
13.859999999999793,50819
13.879999999999793,49551
13.899999999999793,55505
13.919999999999792,50244
13.939999999999792,50923
13.959999999999791,50490
13.97999999999979,51330
13.99999999999979,47763
14.01999999999979,52363
14.03999999999979,50638
14.059999999999789,51839
14.079999999999789,51797
14.099999999999788,54249
14.119999999999788,50550
14.139999999999787,50626
14.159999999999787,48722
14.179999999999787,51145
14.199999999999786,48567
14.219999999999786,51130
14.239999999999785,49191
14.259999999999785,49836
14.279999999999784,48267
14.299999999999784,51086
14.319999999999784,51552
14.339999999999783,52694
14.359999999999783,50038
14.379999999999782,49517
14.399999999999782,47994
14.419999999999781,49688
14.439999999999781,50963
14.45999999999978,48472
14.47999999999978,51169
14.49999999999978,55725
14.51999999999978,51718
14.539999999999779,48253
14.559999999999778,51649
14.579999999999778,51934
14.599999999999778,51594
14.619999999999777,52348
14.639999999999777,48537
14.659999999999776,48368
14.679999999999776,51143
14.699999999999775,50760
14.719999999999775,51010
14.739999999999775,48574
14.759999999999774,50759
14.779999999999774,52722
14.799999999999773,51182
14.819999999999773,49434
14.839999999999772,49035
14.859999999999772,48508
14.879999999999772,51850
14.899999999999771,51219
14.91999999999977,54216
14.93999999999977,51178
14.95999999999977,50431
14.97999999999977,52608
14.999999999999769,54079
15.019999999999769,49811
15.039999999999768,49967
15.059999999999768,49198
15.079999999999767,51044
15.099999999999767,48206
15.119999999999767,48769
15.139999999999766,51961
15.159999999999766,51306
15.179999999999765,53207
15.199999999999765,50088
15.219999999999764,52688
15.239999999999764,50805
15.259999999999764,50922
15.279999999999763,51925
15.299999999999763,51085
15.319999999999762,51429
15.339999999999762,54186
15.359999999999761,52910
15.379999999999761,53424
15.39999999999976,49055
15.41999999999976,51515
15.43999999999976,53097
15.45999999999976,51925
15.479999999999759,49791
15.499999999999758,49899
15.519999999999758,49558
15.539999999999758,49363
15.559999999999757,52072
15.579999999999757,52251
15.599999999999756,51469
15.619999999999756,47732
15.639999999999755,51959
15.659999999999755,50862
15.679999999999755,51629
15.699999999999754,48679
15.719999999999754,52402
15.739999999999753,51865
15.759999999999753,49092
15.779999999999752,53218
15.799999999999752,49246
15.819999999999752,50099
15.839999999999751,47550
15.85999999999975,49638
15.87999999999975,51170
15.89999999999975,51379
15.91999999999975,51459
15.939999999999749,51609
15.959999999999749,51097
15.979999999999748,55817
15.999999999999748,50529
16.019999999999747,50024
16.039999999999747,51980
16.059999999999746,51262
16.079999999999746,51976
16.099999999999746,49745
16.119999999999745,48818
16.139999999999745,50804
16.159999999999744,50597
16.179999999999744,49957
16.199999999999743,51435
16.219999999999743,49978
16.239999999999743,50437
16.259999999999742,50146
16.279999999999742,50115
16.29999999999974,49607
16.31999999999974,51154
16.33999999999974,49373
16.35999999999974,50801
16.37999999999974,49268
16.39999999999974,53854
16.41999999999974,50110
16.43999999999974,51898
16.459999999999738,51269
16.479999999999738,52976
16.499999999999737,49247
16.519999999999737,46915
16.539999999999736,50051
16.559999999999736,49714
16.579999999999735,49990
16.599999999999735,49667
16.619999999999735,51370
16.639999999999734,48254
16.659999999999734,52730
16.679999999999733,53296
16.699999999999733,51195
16.719999999999732,50469
16.739999999999732,50898
16.75999999999973,50146
16.77999999999973,48271
16.79999999999973,52550
16.81999999999973,51843
16.83999999999973,52931
16.85999999999973,51183
16.87999999999973,52532
16.89999999999973,51325
16.919999999999728,50848
16.939999999999728,51783
16.959999999999727,50730
16.979999999999727,50491
16.999999999999726,50421
17.019999999999726,53088
17.039999999999726,55796
17.059999999999725,58642
17.079999999999725,61632
17.099999999999724,64773
17.119999999999724,68074
17.139999999999723,71542
17.159999999999723,75185
17.179999999999723,79012
17.199999999999722,83033
17.21999999999972,87257
17.23999999999972,91694
17.25999999999972,96354
17.27999999999972,101250
17.29999999999972,106391
17.31999999999972,111791
17.33999999999972,117462
17.35999999999972,123418
17.37999999999972,129672
17.399999999999718,136238
17.419999999999717,143134
